,Training,Generalization
0,0.9020446096654275,0.9576523031203567
1,0.9492565055762082,0.9695393759286776
2,0.9548327137546468,0.9702823179791976
3,0.9615241635687732,0.975482912332838
4,0.9684014869888475,0.9680534918276374
5,0.9700743494423791,0.9554234769687965
6,0.9684014869888475,0.9814264487369985
7,0.9737918215613383,0.9777117384843982
8,0.9765799256505576,0.9769687964338781
9,0.979368029739777,0.9814264487369985
10,0.9825278810408922,0.9799405646359584
11,0.9771375464684015,0.9769687964338781
12,0.9812267657992565,0.9702823179791976
13,0.9842007434944238,0.9799405646359584
14,0.9804832713754646,0.9806835066864784
15,0.9842007434944238,0.9851411589895989
16,0.9855018587360594,0.9829123328380386
17,0.9864312267657993,0.986627043090639
18,0.9882899628252788,0.9836552748885586
19,0.987546468401487,0.9858841010401189
